"simulation_step","simulation_time","vehicles","crossings","waitings","alternative_routes_used"
"1","1","0","0","0","0"
"2","3","0","0","3","0"
"3","8","0","0","10","0"
"4","20","2","2","23","0"
"5","48","14","14","40","0"
"6","119","21","21","73","0"
"7","234","36","36","112","0"
"8","477","44","45","178","0"
"9","970","51","56","257","0"
"10","2232","60","71","348","0"
"11","3375","71","87","453","0"
"12","4660","86","108","566","0"
"13","5495","99","129","687","0"
"14","6167","106","141","814","0"
"15","6420","109","151","950","0"
"16","6673","114","162","1090","0"
"17","6904","118","175","1236","0"
"18","7058","121","179","1384","0"
"19","7171","126","192","1532","0"
"20","7274","128","197","1690","0"
"21","7409","130","201","1849","0"
"22","7537","134","208","2008","0"
"23","7625","138","214","2170","0"
"24","7673","139","217","2332","0"
"25","7714","142","223","2494","0"
"26","7749","143","231","2656","0"
"27","7757","143","232","2818","0"
"28","7765","145","238","2980","0"
"29","7771","147","242","3142","0"
"30","7775","147","245","3305","0"
"31","7778","149","249","3468","0"
"32","7781","149","251","3632","0"
"33","7785","150","253","3796","0"
"34","7788","151","255","3960","0"
"35","7791","151","256","4124","0"
"36","7794","151","256","4288","0"
"37","7797","152","260","4452","0"
"38","7799","152","262","4616","0"
"39","7800","152","263","4780","0"
"40","7801","152","265","4944","0"
"41","7801","152","266","5108","0"
"42","7802","154","268","5272","0"
"43","7802","154","268","5436","0"
"44","7803","155","269","5600","0"
"45","7803","155","269","5765","0"
"46","7804","155","269","5930","0"
"47","7804","155","269","6095","0"
"48","7805","155","269","6260","0"
"49","7805","155","269","6425","0"
"50","7806","155","271","6590","0"
"51","7806","155","272","6755","0"
"52","7807","155","272","6921","0"
"53","7807","156","273","7087","0"
"54","7807","157","274","7253","0"
"55","7807","157","274","7419","0"
"56","7807","157","274","7585","0"
"57","7808","157","274","7751","0"
"58","7808","157","274","7917","0"
"59","7808","157","275","8083","0"
"60","7808","157","275","8249","0"
"61","7808","157","275","8415","0"
"62","7808","157","275","8581","0"
"63","7809","157","275","8747","0"
"64","7809","157","275","8913","0"
"65","7809","157","275","9079","0"
"66","7809","157","275","9245","0"
"67","7809","158","276","9411","0"
"68","7809","158","276","9577","0"
"69","7809","158","276","9743","0"
"70","7810","158","276","9909","0"
"71","7810","158","276","10075","0"
"72","7810","158","276","10241","0"
"73","7810","158","276","10407","0"
"74","7810","158","277","10573","0"
"75","7810","158","278","10739","0"
"76","7811","158","278","10905","0"
"77","7811","158","278","11071","0"
"78","7811","158","278","11237","0"
"79","7811","158","278","11403","0"
"80","7811","158","278","11569","0"
"81","7811","158","278","11735","0"
"82","7811","158","278","11901","0"
"83","7811","158","278","12067","0"
"84","7811","158","278","12233","0"
"85","7811","158","278","12399","0"
"86","7811","158","278","12565","0"
"87","7812","158","278","12731","0"
"88","7812","158","278","12897","0"
"89","7812","158","278","13063","0"
"90","7812","158","278","13229","0"
"91","7812","158","278","13395","0"
"92","7812","158","278","13561","0"
"93","7812","158","278","13727","0"
"94","7812","158","278","13893","0"
"95","7813","158","278","14059","0"
"96","7813","158","278","14225","0"
"97","7813","158","278","14391","0"
"98","7813","158","278","14557","0"
"99","7813","158","278","14723","0"
"100","7813","158","278","14889","0"
